x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,direction_nrs,line_numbers,geometry,pos
635455.9949,5692640.637,26.14612,125150.02,25.56046588,18.56095448,37.7221606,26.39657487,47.19634482,36.29253116,0.087201935,0.273056971,0.765868285,0.361687644,1.094266688,-0.870427663,1,110,POINT (635455.9949 5692640.637),61.95929900515358
635455.478,5692640.588,26.16228224,125150.2,25.06046588,18.36095448,37.7221606,26.39657487,45.89634482,35.69253116,0.097201935,0.243056971,0.765868285,0.361687644,0.864266688,-0.690427663,1,110,POINT (635455.478 5692640.588),62.47851631034789
635454.817,5692640.525,26.18334131,125150.4,24.86046588,18.36095448,36.0221606,26.09657487,45.59634482,35.19253116,0.097201935,0.213056971,0.705868285,0.281687644,0.904266688,-1.480427663,1,110,POINT (635454.817 5692640.525),63.14251179223185
635454.0508,5692640.455,26.21228365,125150.63,24.46046588,18.16095448,36.3221606,26.19657487,46.09634482,34.99253116,0.087201935,0.213056971,0.665868285,0.321687644,1.024266688,-1.350427663,1,110,POINT (635454.0508 5692640.455),63.911902746266584
635453.4204,5692640.4,26.21228365,125150.83,24.06046588,17.56095448,37.2221606,25.69657487,46.59634482,35.29253116,0.087201935,0.243056971,0.655868285,0.331687644,1.044266688,-0.740427663,1,110,POINT (635453.4204 5692640.4),64.54469746811328
635452.805,5692640.348,26.22423539,125151.04,23.56046588,16.76095448,37.6221606,24.89657487,46.89634482,35.29253116,0.077201935,0.223056971,0.675868285,0.271687644,0.984266688,-0.810427663,1,110,POINT (635452.805 5692640.348),65.16229050554438
635452.3993,5692640.314,26.22869747,125151.16,23.66046588,16.36095448,37.6221606,24.89657487,47.09634482,34.79253116,0.077201935,0.203056971,0.675868285,0.271687644,0.954266688,-1.030427663,1,110,POINT (635452.3993 5692640.314),65.56941271078674
635451.7238,5692640.259,26.23,125151.36,23.66046588,16.26095448,37.8221606,24.89657487,46.59634482,34.49253116,0.077201935,0.203056971,0.635868285,0.331687644,1.134266688,-0.890427663,1,110,POINT (635451.7238 5692640.259),66.24714809431487
635450.8581,5692640.185,26.23,125151.63,23.46046588,16.86095448,37.2221606,25.09657487,45.69634482,34.29253116,0.077201935,0.213056971,0.635868285,0.281687644,1.284266688,-1.060427663,1,110,POINT (635450.8581 5692640.185),67.11600509644211
635450.1668,5692640.125,26.23,125151.84,23.76046588,17.96095448,36.9221606,26.09657487,45.99634482,33.89253116,0.077201935,0.203056971,0.635868285,0.291687644,1.094266688,-1.800427663,1,110,POINT (635450.1668 5692640.125),67.80990400109498
635449.4478,5692640.062,26.23,125152.05,24.66046588,18.56095448,38.0221606,26.99657487,45.79634482,34.09253116,0.077201935,0.223056971,0.615868285,0.311687644,1.034266688,-2.150427663,1,110,POINT (635449.4478 5692640.062),68.53165880715397
