x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
107750.86,183266.877,70.5132581,39698.8,26.55406996,12.35141096,47.00784936,23.73127046,57.04083613,40.55545582,0.960076811,0.658482809,0.946765015,0.059038013,1.29629467,-2.325285381
107750.672,183267.169,70.50887924,39698.9,26.45406996,12.35141096,46.70784936,24.03127046,57.04083613,40.15545582,0.960076811,0.658482809,0.946765015,0.049038013,1.30629467,-2.395285381
107750.516,183267.411,70.50397324,39699,26.45406996,12.55141096,46.50784936,24.43127046,57.14083613,39.85545582,0.960076811,0.648482809,0.956765015,0.039038013,1.30629467,-2.445285381
107750.396,183267.596,70.4965,39699.08,26.753715,12.95172099,46.50784936,24.63195876,56.74082471,39.75722468,0.960067581,0.648482357,0.956765015,0.01902356,1.296270105,-2.425290977
107750.178,183267.933,70.4915,39699.19,27.15331721,13.35208761,46.80738273,24.83245614,56.04076977,39.66385016,0.960053984,0.64848177,0.956768177,0.029007604,1.276176724,-2.355304603
107750,183268.209,70.486,39699.3,27.35303667,13.55232067,46.60680612,25.13383006,55.44070495,39.46957264,0.960047796,0.648481413,0.946768177,0.038961508,1.266090884,-2.305304603
107749.829,183268.473,70.4805,39699.4,27.45257233,13.75300891,46.60664034,25.43430911,55.24064984,39.57410263,0.960033113,0.658480461,0.946768177,0.048948701,1.266033319,-2.285304603
107749.722,183268.637,70.4805,39699.47,27.65220683,13.75300891,46.60664034,25.43430911,55.24062893,39.77562834,0.960023039,0.658480461,0.946768177,0.058948701,1.26601269,-2.275304603
107749.547,183268.907,70.4755,39699.56,27.85220683,13.45300891,46.80664034,25.13430911,55.24062893,39.77562834,0.960023039,0.658480461,0.936768177,0.058948701,1.26601269,-2.245304603
107749.375,183269.171,70.469,39699.66,27.75220683,13.05300891,46.70664034,24.73430911,55.04062893,39.47562834,0.960023039,0.658480461,0.946768177,0.068948701,1.26601269,-2.205304603
107749.205,183269.432,70.4645,39699.76,27.45220683,12.75300891,46.00664034,24.23430911,54.64062893,38.97562834,0.960023039,0.658480461,0.946768177,0.088948701,1.28601269,-2.165304603
107749.06,183269.654,70.461,39699.86,27.15220683,12.55300891,45.40664034,23.73430911,53.94062893,38.37562834,0.960023039,0.658480461,0.946768177,0.098948701,1.30601269,-2.155304603
107748.854,183269.969,70.4565,39699.97,26.75220683,12.45300891,45.10664034,23.43430911,53.24062893,37.77562834,0.960023039,0.658480461,0.946768177,0.108948701,1.30601269,-2.155304603
