x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1
107778.79,183277.193,70.94478224,40916.87,37.56142336,17.44154917,65.70127247,35.71585387,79.61775462,60.03722353
107778.957,183276.939,70.94983907,40916.98,38.06142336,17.74154917,66.80127247,35.91585387,79.71775462,59.63722353
107779.102,183276.717,70.95438248,40917.07,38.36142336,17.84154917,66.80127247,35.81585387,79.61775462,58.93722353
107779.234,183276.514,70.96062426,40917.17,38.46142336,17.54154917,66.90127247,35.51585387,79.61775462,58.43722353
107779.366,183276.31,70.96644205,40917.26,38.46142336,17.24154917,66.60127247,35.11585387,79.61775462,58.33722353
107779.54,183276.04,70.97800153,40917.37,38.16142336,17.14154917,66.10127247,34.71585387,79.81775462,58.13722353
107779.67,183275.837,70.98969772,40917.47,37.66142336,16.94154917,65.80127247,34.31585387,80.61775462,57.83722353
107779.843,183275.566,71.00369187,40917.58,37.36142336,16.44154917,65.80127247,33.81585387,81.71775462,57.73722353
107780,183275.32,71.0193061,40917.69,37.06142336,15.84154917,66.00127247,33.11585387,82.81775462,57.93722353
107780.145,183275.09,71.0358625,40917.8,36.76142336,15.24154917,66.20127247,32.51585387,83.81775462,58.13722353
107780.248,183274.927,71.05100854,40917.87,36.56142336,15.14154917,66.20127247,32.51585387,84.51775462,58.63722353
107780.477,183274.563,71.06748747,40918.01,36.66142336,15.44154917,66.30127247,33.31585387,84.71775462,59.13722353
107780.642,183274.298,71.08585123,40918.11,37.16142336,16.74154917,67.20127247,34.31585387,85.01775462,59.93722353
107780.769,183274.096,71.09918316,40918.2,37.86142336,16.74154917,68.20127247,35.21585387,85.61775462,60.93722353
107780.904,183273.881,71.11276881,40918.3,38.66142336,17.44154917,69.30127247,36.11585387,86.41775462,62.23722353
